company,holder of position,% of capital,communication date,position date
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.69,2013-09-13,2013-09-12
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.70,2013-09-11,2013-09-10
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.62,2013-09-05,2013-09-04
"PHAROL, SGPS, S.A.",Millennium International Management LP,0.51,2013-08-23,2013-08-22
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.50,2017-12-21,2017-12-20
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.60,2017-11-30,2017-11-29
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.51,2017-11-17,2017-11-16
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.59,2017-07-21,2017-07-20
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.69,2017-06-27,2017-06-26
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.70,2017-06-05,2017-06-02
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.61,2017-05-26,2017-05-25
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.59,2016-10-21,2016-10-20
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.61,2016-09-16,2016-09-15
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.59,2016-09-15,2016-09-14
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.67,2016-09-07,2016-09-06
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.79,2016-08-31,2016-08-30
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.89,2016-08-10,2016-08-09
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.90,2016-06-28,2016-06-27
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.80,2016-06-24,2016-06-23
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.70,2016-06-06,2016-06-03
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.69,2016-06-02,2016-06-01
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.77,2016-05-26,2016-05-25
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.89,2016-04-22,2016-04-21
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.91,2016-03-25,2016-03-24
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.81,2016-03-11,2016-03-10
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.70,2016-03-07,2016-03-04
"PHAROL, SGPS, S.A.",Oxford Asset Management,0.51,2016-02-26,2016-02-25
"PHAROL, SGPS, S.A.",Pelham Long Short Master Fund Limited,0.54,2014-06-23,2014-06-20
"PHAROL, SGPS, S.A.",Pelham Long Short Master Fund Limited,0.68,2014-06-18,2014-06-17
"PHAROL, SGPS, S.A.",Pelham Long Short Master Fund Limited,0.70,2014-06-17,2014-06-16
"PHAROL, SGPS, S.A.",Pelham Long Short Master Fund Limited,0.98,2014-06-09,2014-06-06
"PHAROL, SGPS, S.A.",Pelham Long Short Master Fund Limited,1.23,2013-08-16,2013-08-15
"PHAROL, SGPS, S.A.",Pelham Long Short Master Fund Limited,1.01,2013-08-15,2013-08-14
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,0.55,2014-07-07,2014-07-04
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,0.66,2014-07-04,2014-07-03
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,1.12,2014-06-26,2014-06-25
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,1.01,2014-05-19,2014-05-16
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,1.12,2014-05-14,2014-05-13
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,1.08,2014-05-07,2014-05-06
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,1.10,2014-05-06,2014-05-05
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,1.03,2014-04-29,2014-04-28
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,0.91,2014-04-28,2014-04-25
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,0.61,2014-04-25,2014-04-24
"PHAROL, SGPS, S.A.",Pine River Capital Management L.P.,0.59,2014-04-24,2014-04-23
"PHAROL, SGPS, S.A.",Polygon Global Partners LLP,0.55,2015-02-20,2015-02-19
"PHAROL, SGPS, S.A.",Polygon Global Partners LLP,0.69,2015-01-30,2015-01-29
"PHAROL, SGPS, S.A.",Polygon Global Partners LLP,0.73,2015-01-26,2015-01-23
"PHAROL, SGPS, S.A.",Polygon Global Partners LLP,0.66,2015-01-19,2015-01-16
"PHAROL, SGPS, S.A.",Polygon Global Partners LLP,0.54,2014-12-19,2014-12-18
"PHAROL, SGPS, S.A.",SPX Gestao de Recursos Ltda,0.50,2014-07-16,2014-07-15
"PHAROL, SGPS, S.A.",SPX Gestao de Recursos Ltda,0.60,2014-06-09,2014-06-06
"PHAROL, SGPS, S.A.",SPX Gestao de Recursos Ltda,0.51,2014-05-06,2014-05-05
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.59,2018-11-23,2018-11-22
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.69,2018-10-12,2018-10-11
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.79,2018-09-20,2018-09-19
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.88,2018-09-07,2018-09-06
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.99,2018-08-10,2018-08-09
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",1.00,2018-07-02,2018-06-29
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.90,2018-06-13,2018-06-12
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.80,2018-06-05,2018-06-04
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.73,2018-05-31,2018-05-30
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.62,2018-05-25,2018-05-24
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.53,2018-05-23,2018-05-22
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.57,2017-03-08,2017-03-07
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.60,2017-02-02,2017-02-01
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.59,2016-12-12,2016-12-09
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.60,2016-12-02,2016-12-01
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.59,2016-11-03,2016-11-02
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.61,2016-08-25,2016-08-24
"REN -  Redes Energéticas Nacionais, SGPS, SA","BlackRock Institutional Trust Company, N.A.",0.50,2016-06-24,2016-06-23
"REN -  Redes Energéticas Nacionais, SGPS, SA",BlackRock Investment Management (UK) Limited,0.50,2016-09-29,2016-09-28
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.54,2020-01-15,2020-01-14
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.68,2020-01-13,2020-01-10
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.79,2019-11-08,2019-11-07
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.86,2019-08-12,2019-08-09
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.98,2019-07-10,2019-07-09
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.07,2019-06-20,2019-06-19
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.18,2019-06-11,2019-06-10
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.22,2019-06-04,2019-06-03
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.37,2019-05-01,2019-04-30
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.48,2019-04-18,2019-04-17
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.59,2019-01-09,2019-01-08
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.74,2019-01-07,2019-01-04
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.88,2018-11-28,2018-11-27
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.10,2018-10-25,2018-10-24
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.01,2018-10-22,2018-10-19
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.91,2018-10-04,2018-10-03
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.80,2018-10-02,2018-10-01
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.75,2018-07-03,2018-07-02
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.85,2018-07-02,2018-06-29
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.15,2018-06-28,2018-06-27
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.20,2018-06-04,2018-06-01
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.14,2018-06-01,2018-05-31
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.23,2018-05-24,2018-05-23
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.10,2018-04-04,2018-04-03
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.01,2018-02-27,2018-02-26
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.97,2018-01-17,2018-01-16
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.07,2018-01-04,2018-01-03
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.13,2017-12-14,2017-12-13
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.69,2017-11-30,2017-11-29
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.72,2017-11-08,2017-11-07
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.62,2017-11-01,2017-10-31
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.53,2017-10-17,2017-10-16
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.43,2017-09-11,2017-09-08
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.22,2017-06-26,2017-06-23
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.14,2017-06-23,2017-06-22
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,2.01,2017-06-09,2017-06-08
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.94,2017-05-25,2017-05-24
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.82,2017-05-15,2017-05-12
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.74,2017-05-03,2017-05-02
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.61,2017-04-28,2017-04-27
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.43,2017-03-07,2017-03-06
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.30,2017-01-27,2017-01-26
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.20,2016-12-05,2016-12-02
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.11,2016-11-15,2016-11-14
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.03,2016-10-17,2016-10-14
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.98,2016-08-12,2016-08-11
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,1.01,2016-07-08,2016-07-07
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.94,2016-05-24,2016-05-23
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.83,2016-05-19,2016-05-18
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.76,2016-04-22,2016-04-21
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.62,2016-04-01,2016-03-31
"REN -  Redes Energéticas Nacionais, SGPS, SA",Lansdowne Partners (UK) LLP,0.50,2016-02-03,2016-02-02
"REN -  Redes Energéticas Nacionais, SGPS, SA",Millennium International Management LP,0.51,2018-08-10,2018-08-09
"REN -  Redes Energéticas Nacionais, SGPS, SA",Millennium International Management LP,0.51,2018-08-03,2018-08-02
"REN -  Redes Energéticas Nacionais, SGPS, SA",Millennium International Management LP,0.53,2018-06-27,2018-06-26
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.60,2022-05-24,2022-05-23
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.58,2022-03-09,2022-03-08
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.67,2022-01-13,2022-01-12
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.70,2022-01-12,2022-01-11
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.85,2021-12-30,2021-12-29
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.99,2021-12-10,2021-12-09
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",1.11,2021-10-19,2021-10-18
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",1.02,2020-06-05,2020-06-04
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.95,2020-06-03,2020-06-02
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.81,2020-05-19,2020-05-18
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.70,2020-05-11,2020-05-08
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.51,2020-05-05,2020-05-04
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.50,2019-08-07,2019-08-06
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.50,2018-12-17,2018-12-14
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.69,2017-12-05,2017-12-04
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.73,2017-11-15,2017-11-14
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.62,2017-10-18,2017-10-17
"REN -  Redes Energéticas Nacionais, SGPS, SA","Point72 Europe (London), LLP",0.50,2017-06-28,2017-06-27
"REN -  Redes Energéticas Nacionais, SGPS, SA",Sculptor Capital Management Europe Limited,1.04,2017-12-11,2017-12-08
"REN -  Redes Energéticas Nacionais, SGPS, SA",Sculptor Capital Management Europe Limited,0.88,2017-12-04,2017-12-01
"REN -  Redes Energéticas Nacionais, SGPS, SA",Sculptor Capital Management Europe Limited,0.78,2017-12-01,2017-11-30
"REN -  Redes Energéticas Nacionais, SGPS, SA",Sculptor Capital Management Europe Limited,0.60,2017-11-30,2017-11-29
"REN -  Redes Energéticas Nacionais, SGPS, SA",Susquehanna International Holdings LLC,0.50,2017-12-12,2017-12-12
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.50,2017-11-27,2017-11-24
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.58,2017-11-03,2017-11-02
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.69,2017-10-10,2017-10-09
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.79,2017-09-18,2017-09-15
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.89,2017-08-24,2017-08-23
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.98,2017-07-28,2017-07-27
"Sonae - SGPS, S.A.",Marshall Wace LLP,1.01,2017-07-14,2017-07-13
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.91,2017-07-06,2017-07-05
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.82,2017-06-28,2017-06-27
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.73,2017-06-21,2017-06-20
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.61,2017-06-15,2017-06-14
"Sonae - SGPS, S.A.",Marshall Wace LLP,0.53,2017-06-09,2017-06-08
